date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:27	58485/58485	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Aug%202020%2014:59:27%20GMT	https://live5.in/live/shyamawedsanand/	C:/My%20Web%20Sites/live/live5.in/live/shyamawedsanand/index.html	(from )
20:29:28	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2018%20Aug%202020%2014:59:26%20GMT	https://live5.in/robots.txt		(from )
20:29:30	41045/41045	---M--	200	added ('OK')	text/css	etag:%22a055-5a7c78fe17b47%22	https://live5.in/live/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-includes/css/dist/block-library/style.min03ec.css	(from https://live5.in/live/shyamawedsanand/)
20:29:30	289/289	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:30%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/css/us-base.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/us-base.1128b.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:31	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:30%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/css/font-awesome.css?ver=4.6.3	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/font-awesome4698.css	(from https://live5.in/live/shyamawedsanand/)
20:29:31	68447/68447	---M--	200	added ('OK')	text/css	etag:%2210b5f-53446da659a00%22	https://live5.in/live/wp-content/themes/Impreza/framework/css/us-base.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/us-base128b.css	(from https://live5.in/live/shyamawedsanand/)
20:29:33	29067/29067	---M--	200	added ('OK')	text/css	etag:%22718b-5331c74b9fc80%22	https://live5.in/live/wp-content/themes/Impreza/framework/css/font-awesome.css?ver=4.6.3	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/font-awesome4698.css	(from https://live5.in/live/shyamawedsanand/)
20:29:33	289/289	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:33%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/css/font-mdfi.css?ver=1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/font-mdfi.568b3.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:35	45324/45324	---M--	200	added ('OK')	text/css	etag:%22b10c-52ba69b158e80%22	https://live5.in/live/wp-content/themes/Impreza/framework/css/font-mdfi.css?ver=1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/css/font-mdfi68b3.css	(from https://live5.in/live/shyamawedsanand/)
20:29:35	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:33%20GMT	http://live5.in/live/wp-content/themes/Impreza/css/style.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/css/style128b.css	(from https://live5.in/live/shyamawedsanand/)
20:29:37	282/282	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:36%20GMT	http://live5.in/live/wp-content/themes/Impreza/css/responsive.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/css/responsive.9128b.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:37	200159/200159	---M--	200	added ('OK')	text/css	etag:%2230ddf-53446da841e80%22	https://live5.in/live/wp-content/themes/Impreza/css/style.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/css/style128b.css	(from https://live5.in/live/shyamawedsanand/)
20:29:38	24682/24682	---M--	200	added ('OK')	text/css	etag:%22606a-53446da841e80%22	https://live5.in/live/wp-content/themes/Impreza/css/responsive.css?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/css/responsive128b.css	(from https://live5.in/live/shyamawedsanand/)
20:29:40	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-53431f9c48100%22	https://live5.in/live/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/live/live5.in/live/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://live5.in/live/shyamawedsanand/)
20:29:40	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:40%20GMT	http://live5.in/live/wp-content/uploads/2020/06/222.jpg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2020/06/222.d.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:40	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-59bc17003cf7c%22	https://live5.in/live/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/live/live5.in/live/wp-includes/js/jquery/jquery4a5f.js	(from https://live5.in/live/shyamawedsanand/)
